475,New MRR kpi Day This vs Last,KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Day"",""comparison"":""This vs Last"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""DATE""}],""filters"":[],""tl"":[]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":98600,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",98600,MRR
476,New MRR KPI Day Last vs One Before,KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Day"",""comparison"":""Last vs One Before"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""DATE""}],""filters"":[""DATE(now())<>DATE(\""Modified At\"")""],""tl"":[]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":57000,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",57000,MRR
477,New MRR kpi Week This vs Last,KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Week"",""comparison"":""This vs Last"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""WEEK AND YEAR""}],""filters"":[],""tl"":[]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":57000,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",57000,MRR
478,New MRR KPI Week This vs Last (WTD),KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Week"",""comparison"":""This vs Last (WTD)"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""WEEK AND YEAR""}],""filters"":[""extract('dow' from now()) >= extract('dow' from \""Modified At\"")""],""tl"":[]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":57000,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",57000,MRR
479,New MRR kpi Week Last vs One Before,KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Week"",""comparison"":""Last vs One Before"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""WEEK AND YEAR""}],""filters"":[""WeekYear(\""Subscription Date\"")<>WeekYear(now())""],""tl"":[""Last 3 Months""]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":57000,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",57000,MRR
480,New MRR kpi Month This vs Last,KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Month"",""comparison"":""This vs Last"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""MONTH AND YEAR""}],""filters"":[],""tl"":[]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":57000,""goals"":true,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",57000,MRR
481,New MRR KPI Month This vs Last (MTD),KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Month"",""comparison"":""This vs Last (MTD)"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""MONTH AND YEAR""}],""filters"":[""extract('day' from now()) >= extract('day' from \""Modified At\"")""],""tl"":[]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":57000,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",57000,MRR
482,New MRR KPI Month Last vs One Before,KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Month"",""comparison"":""Last vs One Before"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""MONTH AND YEAR""}],""filters"":[""MonthYear(\""Subscription Date\"")<>MonthYear(now())""],""tl"":[]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":57000,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",57000,MRR
483,New MRR KPI Rolling 30 days This vs Last,KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Rolling 30 days"",""comparison"":""This vs Last"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""ROLLING 30 DAYS""}],""filters"":[],""tl"":[]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":57000,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",57000,MRR
484,New MRR KPI Rolling 30 days Last vs One Before,KPI,"{""type"":""kpi"",""title"":""New MRR"",""period"":""Rolling 30 days"",""comparison"":""Last vs One Before"",""vud"":[""Subscription ID"",""Company Name"",""Email"",""Active For (Days)"",""Current Plan"",""Curren MRR"",""MRR Impact"",""MRR Status"",""MRR Sub Status"",""Currency"",""Created At"",""Activated At"",""Customer ID"",""Last Name"",""First Name"",""Last Name""],""query"":[{""measures"":[{""name"":""NEW""}],""attributes"":[{""name"":""ROLLING 30 DAYS""}],""filters"":[],""tl"":[]}],""exclude_global_filters"":false,""tags"":""Revenue"",""score"":57000,""prev_tags"":""Revenue""}",Brand new monthly recurring revenue earned from new subscriptions acquired during the period.,"New MRR is the brand new monthly recurring revenue earned from new subscriptions acquired during the period. If 5 new subscriptions are added with a total of $800 as revenues from them, then $800 is the New MRR for the month.",57000,MRR
