1,ATTRIBUTE,DAY,"DAY(""Subscription Date"")",DATE,"{""display_name"":""Day of the Month""}",2018-05-24 14:00:14.0
2,ATTRIBUTE,DATE OF METER,"DATE(""Line Item Date"")",DATE,"{""format"":""dd MMM YYYY"",""display_name"":""Date""}",2018-05-24 14:00:14.0
3,ATTRIBUTE,MONTH AND YEAR OF METER,"MONTHYEAR(""Line Item Date"")",DATE,"{""format"":""MMM YYYY"",""display_name"":""Month and Year""}",2018-05-24 14:00:14.0
4,ATTRIBUTE,DATE,"Date(""Subscription Date"")",DATE,"{""format"":""dd MMM YYYY"",""display_name"":""Date""}",2018-05-24 14:00:14.0
5,ATTRIBUTE,WEEKDAY,"WEEKDAY(""Subscription Date"")",DATE,"{""display_name"":""Day""}",2018-05-24 14:00:14.0
6,ATTRIBUTE,WEEK,"WEEK(""Subscription Date"")",DATE,"{""display_name"":""Week""}",2018-05-24 14:00:14.0
7,ATTRIBUTE,WEEK AND YEAR,"WEEKYEAR(""Subscription Date"")",DATE,"{""format"":""'W'W MMM YYYY"",""display_name"":""Week and Year""}",2018-05-24 14:00:14.0
8,ATTRIBUTE,ISO WEEK AND YEAR,"ISOWEEKYEAR(""Subscription Date"")",DATE,"{""display_name"":""Week and Year (ISO Format)""}",2018-05-24 14:00:14.0
9,ATTRIBUTE,MONTH,"MONTH(""Subscription Date"")",DATE,"{""display_name"":""Month""}",2018-05-24 14:00:14.0
10,ATTRIBUTE,MONTH AND YEAR,"MonthYear(""Subscription Date"")",DATE,"{""format"":""MMM YYYY"",""display_name"":""Month and Year""}",2018-05-24 14:00:14.0
11,ATTRIBUTE,QUARTER,"QUARTER(""Subscription Date"")",DATE,"{""display_name"":""Quarter""}",2018-05-24 14:00:14.0
12,ATTRIBUTE,QUARTER AND YEAR,"QUARTERYEAR(""Subscription Date"")",DATE,"{""format"":""'Q'q YYYY"",""display_name"":""Quarter and Year""}",2018-05-24 14:00:14.0
13,ATTRIBUTE,YEAR,"Year(""Subscription Date"")",DATE,"{""format"":""YYYY"",""display_name"":""Year""}",2018-05-24 14:00:14.0
14,ATTRIBUTE,CREATED DAY,"DAY(""Created At"")",DATE,{},2018-05-24 14:00:14.0
15,ATTRIBUTE,CREATED DATE,"Date(""Created At"")",DATE,{},2018-05-24 14:00:14.0
16,ATTRIBUTE,CREATED WEEKDAY,"WEEKDAY(""Created At"")",DATE,{},2018-05-24 14:00:14.0
17,ATTRIBUTE,CREATED WEEK,"WEEK(""Created At"")",DATE,{},2018-05-24 14:00:14.0
18,ATTRIBUTE,CREATED WEEKYEAR,"WEEKYEAR(""Created At"")",DATE,{},2018-05-24 14:00:14.0
19,ATTRIBUTE,CREATED ISO WEEK AND YEAR,"ISOWEEKYEAR(""Created At"")",DATE,"{""display_name"":""Created Week and Year (ISO Format)""}",2018-05-24 14:00:14.0
20,ATTRIBUTE,CREATED MONTH,"MONTH(""Created At"")",DATE,{},2018-05-24 14:00:14.0
21,ATTRIBUTE,CREATED MONTH AND YEAR,"MonthYear(""Created At"")",DATE,{},2018-05-24 14:00:14.0
22,ATTRIBUTE,CREATED QUARTER,"QUARTER(""Created At"")",DATE,{},2018-05-24 14:00:14.0
23,ATTRIBUTE,CREATED QUARTER YEAR,"QUARTERYEAR(""Created At"")",DATE,{},2018-05-24 14:00:14.0
24,ATTRIBUTE,CREATED YEAR,"Year(""Created At"")",DATE,{},2018-05-24 14:00:14.0
